rep_id,start_frame,bottom_frame,end_frame,start_timestamp_ms,bottom_timestamp_ms,end_timestamp_ms,duration_seconds,standing_knee_angle_deg,bottom_knee_angle_deg,knee_flexion_excursion_deg,minimum_knee_angle_deg
1,102,130,203,1701.0,2168.0,3386.0,1.685,147.6353740903645,50.39752402381052,97.23785006655399,50.39752402381052
2,346,419,451,5771.0,6989.0,7523.0,1.752,147.6353740903645,44.29698280013783,103.33839129022667,44.29698280013783
3,589,654,683,9824.0,10909.0,11392.0,1.568,147.6353740903645,45.39834805068142,102.23702603968309,45.39834805068142
4,822,897,933,13711.0,14962.0,15562.0,1.851,147.6353740903645,40.65861865805731,106.9767554323072,40.65861865805731
5,1063,1140,1187,17731.0,19015.0,19799.0,2.068,147.6353740903645,40.28857614906668,107.34679794129784,40.28857614906668
