rep_id,start_frame,bottom_frame,end_frame,start_timestamp_ms,bottom_timestamp_ms,end_timestamp_ms,duration_seconds,standing_knee_angle_deg,bottom_knee_angle_deg,knee_flexion_excursion_deg,minimum_knee_angle_deg
1,110,151,201,1835.0,2519.0,3353.0,1.518,146.9733859033976,48.78231561009812,98.19107029329948,48.78231561009812
2,328,388,436,5472.0,6473.0,7273.0,1.801,146.9733859033976,46.68624972531762,100.28713617807998,46.68624972531762
3,562,598,654,9375.0,9976.0,10910.0,1.535,146.9733859033976,51.70306404481842,95.27032185857918,51.70306404481842
4,791,841,887,13196.0,14030.0,14797.0,1.601,146.9733859033976,46.48297214027875,100.49041376311885,46.48297214027875
5,1008,1072,1114,16816.0,17883.0,18584.0,1.768,146.9733859033976,53.12376481217674,93.84962109122085,53.12376481217674
