video,view,frame,timestamp_ms,fps,knee_angle_deg,rep_id,phase
person_5.mp4,front,0,0,59.93419496354917,147.78380426591778,0,outside
person_5.mp4,front,1,17,59.93419496354917,147.30734052651903,0,outside
person_5.mp4,front,2,33,59.93419496354917,147.93119578596963,0,outside
person_5.mp4,front,3,50,59.93419496354917,147.29006337681147,0,outside
person_5.mp4,front,4,67,59.93419496354917,147.99973871511978,0,outside
person_5.mp4,front,5,83,59.93419496354917,146.79248811064855,0,outside
person_5.mp4,front,6,100,59.93419496354917,146.2654270506989,0,outside
person_5.mp4,front,7,117,59.93419496354917,146.28606952244456,0,outside
person_5.mp4,front,8,133,59.93419496354917,146.4314477090985,0,outside
person_5.mp4,front,9,150,59.93419496354917,146.55899661081713,0,outside
person_5.mp4,front,10,167,59.93419496354917,146.64165164585938,0,outside
person_5.mp4,front,11,184,59.93419496354917,146.64630228855782,0,outside
person_5.mp4,front,12,200,59.93419496354917,147.38752431921816,0,outside
person_5.mp4,front,13,217,59.93419496354917,145.9955003438635,0,outside
person_5.mp4,front,14,234,59.93419496354917,145.62152877507947,0,outside
person_5.mp4,front,15,250,59.93419496354917,145.62649471452588,0,outside
person_5.mp4,front,16,267,59.93419496354917,145.98265769081172,0,outside
person_5.mp4,front,17,284,59.93419496354917,146.3518534811193,0,outside
person_5.mp4,front,18,300,59.93419496354917,146.53897450120962,0,outside
person_5.mp4,front,19,317,59.93419496354917,146.6498937470903,0,outside
person_5.mp4,front,20,334,59.93419496354917,147.35864660307126,0,outside
person_5.mp4,front,21,350,59.93419496354917,147.7797677230562,0,outside
person_5.mp4,front,22,367,59.93419496354917,147.9127669086898,0,outside
person_5.mp4,front,23,384,59.93419496354917,148.40757555866614,0,outside
person_5.mp4,front,24,400,59.93419496354917,148.25405413564894,0,outside
person_5.mp4,front,25,417,59.93419496354917,147.59254382871825,0,outside
person_5.mp4,front,26,434,59.93419496354917,147.36442223725993,0,outside
person_5.mp4,front,27,450,59.93419496354917,148.40156124560824,0,outside
person_5.mp4,front,28,467,59.93419496354917,148.47895243512463,0,outside
person_5.mp4,front,29,484,59.93419496354917,148.87748472826536,0,outside
person_5.mp4,front,30,501,59.93419496354917,148.81209967949604,0,outside
person_5.mp4,front,31,517,59.93419496354917,148.77794348738476,0,outside
person_5.mp4,front,32,534,59.93419496354917,148.2803476139714,0,outside
person_5.mp4,front,33,551,59.93419496354917,147.87451631153834,0,outside
person_5.mp4,front,34,567,59.93419496354917,145.78329256626768,0,outside
person_5.mp4,front,35,584,59.93419496354917,146.2088074588034,0,outside
person_5.mp4,front,36,601,59.93419496354917,146.89060389245452,0,outside
person_5.mp4,front,37,617,59.93419496354917,147.02094114787712,0,outside
person_5.mp4,front,38,634,59.93419496354917,147.02615253909033,0,outside
person_5.mp4,front,39,651,59.93419496354917,147.60812497674385,0,outside
person_5.mp4,front,40,667,59.93419496354917,145.794282087805,0,outside
person_5.mp4,front,41,684,59.93419496354917,146.31956761300626,0,outside
person_5.mp4,front,42,701,59.93419496354917,146.44963108235328,0,outside
person_5.mp4,front,43,717,59.93419496354917,146.31000571534037,0,outside
person_5.mp4,front,44,734,59.93419496354917,145.94059073733763,0,outside
person_5.mp4,front,45,751,59.93419496354917,146.45201950644423,0,outside
person_5.mp4,front,46,768,59.93419496354917,146.26688650976166,0,outside
person_5.mp4,front,47,784,59.93419496354917,145.85994243900896,0,outside
person_5.mp4,front,48,801,59.93419496354917,146.10944611447343,0,outside
person_5.mp4,front,49,818,59.93419496354917,145.75844967573175,0,outside
person_5.mp4,front,50,834,59.93419496354917,144.87799341857405,0,outside
person_5.mp4,front,51,851,59.93419496354917,144.10821993366193,0,outside
person_5.mp4,front,52,868,59.93419496354917,143.72777195474038,0,outside
person_5.mp4,front,53,884,59.93419496354917,143.11851044479744,0,outside
person_5.mp4,front,54,901,59.93419496354917,141.51759949765608,0,outside
person_5.mp4,front,55,918,59.93419496354917,142.0767532383382,0,outside
person_5.mp4,front,56,934,59.93419496354917,142.74172979013719,0,outside
person_5.mp4,front,57,951,59.93419496354917,143.01964973279013,0,outside
person_5.mp4,front,58,968,59.93419496354917,143.03376627835473,0,outside
person_5.mp4,front,59,984,59.93419496354917,143.23513603759218,0,outside
person_5.mp4,front,60,1001,59.93419496354917,143.07651514445416,0,outside
person_5.mp4,front,61,1018,59.93419496354917,143.09422832981755,0,outside
person_5.mp4,front,62,1034,59.93419496354917,143.22877833996745,0,outside
person_5.mp4,front,63,1051,59.93419496354917,144.32491086362728,0,outside
person_5.mp4,front,64,1068,59.93419496354917,143.62698564373528,0,outside
person_5.mp4,front,65,1085,59.93419496354917,143.72199408263216,0,outside
person_5.mp4,front,66,1101,59.93419496354917,143.5771334636532,0,outside
