rep_id,start_frame,bottom_frame,end_frame,start_timestamp_ms,bottom_timestamp_ms,end_timestamp_ms,duration_seconds,standing_knee_angle_deg,bottom_knee_angle_deg,knee_flexion_excursion_deg,minimum_knee_angle_deg
1,106,131,154,1769.0,2186.0,2570.0,0.801,149.58249971608058,56.82554217926563,92.75695753681495,56.82554217926563
2,275,310,315,4589.0,5174.0,5257.0,0.668,149.58249971608058,56.81859105312168,92.7639086629589,56.81859105312168
3,424,445,469,7076.0,7427.0,7827.0,0.751,149.58249971608058,42.893107550597776,106.6893921654828,42.893107550597776
4,566,597,605,9446.0,9963.0,10097.0,0.651,149.58249971608058,45.07288282643184,104.50961688964874,45.07288282643184
5,703,724,743,11732.0,12083.0,12400.0,0.668,149.58249971608058,42.34636656149924,107.23613315458134,42.34636656149924
