rep_id,start_frame,bottom_frame,end_frame,start_timestamp_ms,bottom_timestamp_ms,end_timestamp_ms,duration_seconds,standing_knee_angle_deg,bottom_knee_angle_deg,knee_flexion_excursion_deg,minimum_knee_angle_deg
1,62,75,108,1035.0,1252.0,1802.0,0.767,139.2514054171564,56.059592206990104,83.1918132101663,56.059592206990104
2,225,253,275,3755.0,4222.0,4589.0,0.834,139.2514054171564,60.71873973618564,78.53266568097077,60.71873973618564
3,370,399,412,6174.0,6658.0,6875.0,0.701,139.2514054171564,53.14805508643183,86.10335033072457,53.14805508643183
4,540,565,579,9011.0,9428.0,9662.0,0.651,139.2514054171564,43.725472544521296,95.52593287263511,43.725472544521296
5,705,717,748,11764.0,11964.0,12482.0,0.718,139.2514054171564,49.469561002070336,89.78184441508607,49.469561002070336
