rep_id,start_frame,bottom_frame,end_frame,start_timestamp_ms,bottom_timestamp_ms,end_timestamp_ms,duration_seconds,standing_knee_angle_deg,bottom_knee_angle_deg,knee_flexion_excursion_deg,minimum_knee_angle_deg
1,115,134,153,1920.0,2237.0,2554.0,0.634,145.92266666824924,64.06361703152459,81.85904963672465,64.06361703152459
2,238,260,278,3973.0,4340.0,4640.0,0.667,145.92266666824924,52.852470916952285,93.07019575129695,52.852470916952285
3,362,382,398,6043.0,6376.0,6644.0,0.601,145.92266666824924,59.02529760660708,86.89736906164215,59.02529760660708
4,481,499,512,8029.0,8329.0,8546.0,0.517,145.92266666824924,57.23910673390533,88.6835599343439,57.23910673390533
5,591,604,620,9865.0,10082.0,10349.0,0.484,145.92266666824924,50.53575324520726,95.38691342304197,50.53575324520726
