rep_id,start_frame,bottom_frame,end_frame,start_timestamp_ms,bottom_timestamp_ms,end_timestamp_ms,duration_seconds,standing_knee_angle_deg,bottom_knee_angle_deg,knee_flexion_excursion_deg,minimum_knee_angle_deg
1,59,82,99,992.0,1378.0,1664.0,0.672,147.46958466669295,57.343706062279836,90.12587860441312,57.343706062279836
2,230,246,267,3866.0,4135.0,4487.0,0.621,147.46958466669295,47.58985342374166,99.8797312429513,47.58985342374166
3,398,425,440,6689.0,7143.0,7395.0,0.706,147.46958466669295,43.73932870906336,103.7302559576296,43.73932870906336
4,569,586,606,9563.0,9849.0,10185.0,0.622,147.46958466669295,48.5106021081488,98.95898255854415,48.5106021081488
5,725,753,775,12185.0,12656.0,13025.0,0.84,147.46958466669295,43.42517895260252,104.04440571409043,43.42517895260252
