rep_id,start_frame,bottom_frame,end_frame,start_timestamp_ms,bottom_timestamp_ms,end_timestamp_ms,duration_seconds,standing_knee_angle_deg,bottom_knee_angle_deg,knee_flexion_excursion_deg,minimum_knee_angle_deg
1,48,58,68,1600.0,1933.0,2267.0,0.667,173.04422073568617,94.34154037178428,78.70268036390189,94.34154037178428
2,127,142,150,4234.0,4734.0,5000.0,0.766,173.04422073568617,96.1937458985534,76.85047483713277,96.1937458985534
3,223,237,244,7434.0,7901.0,8134.0,0.7,173.04422073568617,97.07781087345536,75.9664098622308,97.07781087345536
4,309,326,333,10301.0,10868.0,11101.0,0.8,173.04422073568617,101.89093483700593,71.15328589868024,101.89093483700593
5,399,412,420,13301.0,13734.0,14001.0,0.7,173.04422073568617,93.49711767314231,79.54710306254385,93.49711767314231
