rep_id,start_frame,bottom_frame,end_frame,start_timestamp_ms,bottom_timestamp_ms,end_timestamp_ms,duration_seconds,standing_knee_angle_deg,bottom_knee_angle_deg,knee_flexion_excursion_deg,minimum_knee_angle_deg
1,38,48,60,1267.0,1600.0,2000.0,0.733,173.71053845103455,120.40383745548652,53.30670099554803,120.40383745548652
2,116,127,140,3867.0,4234.0,4667.0,0.8,173.71053845103455,113.92335318504027,59.78718526599428,113.92335318504027
3,201,209,221,6701.0,6967.0,7367.0,0.666,173.71053845103455,112.29699092514362,61.413547525890934,112.29699092514362
4,283,294,307,9434.0,9801.0,10234.0,0.8,173.71053845103455,110.59150549413808,63.119032956896476,110.59150549413808
5,367,377,387,12234.0,12568.0,12901.0,0.667,173.71053845103455,105.58653541995272,68.12400303108183,105.58653541995272
