rep_id,start_frame,bottom_frame,end_frame,start_timestamp_ms,bottom_timestamp_ms,end_timestamp_ms,duration_seconds,standing_knee_angle_deg,bottom_knee_angle_deg,knee_flexion_excursion_deg,minimum_knee_angle_deg
1,44,62,74,1467.0,2067.0,2467.0,1.0,172.93852940146724,100.52574079681426,72.41278860465297,100.52574079681426
2,126,142,153,4200.0,4733.0,5100.0,0.9,172.93852940146724,102.77812363670813,70.1604057647591,102.77812363670813
3,199,211,221,6633.0,7033.0,7367.0,0.734,172.93852940146724,97.58563187251822,75.35289752894901,97.58563187251822
4,276,297,308,9200.0,9900.0,10267.0,1.067,172.93852940146724,105.44071929225845,67.49781010920879,105.44071929225845
5,363,380,392,12100.0,12667.0,13067.0,0.967,172.93852940146724,106.00432089254318,66.93420850892406,106.00432089254318
