rep_id,start_frame,bottom_frame,end_frame,start_timestamp_ms,bottom_timestamp_ms,end_timestamp_ms,duration_seconds,standing_knee_angle_deg,bottom_knee_angle_deg,knee_flexion_excursion_deg,minimum_knee_angle_deg
1,46,63,74,1533.0,2100.0,2467.0,0.934,172.31558002209945,106.33766880021295,65.9779112218865,106.33766880021295
2,112,134,143,3733.0,4467.0,4767.0,1.034,172.31558002209945,109.39302121225917,62.92255880984028,109.39302121225917
3,185,193,207,6167.0,6433.0,6900.0,0.733,172.31558002209945,104.34587421626313,67.96970580583633,104.34587421626313
4,251,265,279,8367.0,8833.0,9300.0,0.933,172.31558002209945,102.76283147920238,69.55274854289708,102.76283147920238
5,328,338,354,10933.0,11267.0,11800.0,0.867,172.31558002209945,105.5259249142947,66.78965510780475,105.5259249142947
