joint,left_mean_angle_deg,right_mean_angle_deg,left_sd_deg,right_sd_deg,left_mean_rom_deg,right_mean_rom_deg,left_bottom_angle_deg,right_bottom_angle_deg
Knee,58.307770234279396,56.918103348635476,15.42418862124816,13.209237413780222,28.700816467695415,27.873478039670232,51.62429997695877,50.39497421660785
Hip,85.39741454668398,83.29080395572137,27.91695210851034,24.55453214833592,42.94200252510788,42.29881030954829,77.54400527102055,75.42568323953996
Ankle,64.9497074028171,66.4272058205474,7.083112768327239,6.997108588290227,14.393795012350857,14.597058380519256,65.08165389343964,66.6100603175333
