feature,count,mean,std,minimum,25_percentile,median,75_percentile,maximum

rep_id,100,3.0,1.4213381090374029,1.0,2.0,3.0,4.0,5.0
left_knee_min_deg,100,49.11784562748913,16.128075215614178,22.452887365088355,39.84373433403453,44.67434205633593,54.57847258327653,97.2740285567734
left_knee_max_deg,100,77.81866209518454,13.528797604072402,54.968694712757554,69.01960719214543,74.32752569585482,82.7197482600165,117.63882350690616
left_knee_mean_deg,100,58.307770234279396,15.42418862124816,33.92998537941628,47.9485445085907,53.15424237981776,64.08302200213309,101.65598224435672
left_knee_std_deg,100,7.586004621780237,1.5650906708293026,2.8548891655957784,6.830894484068542,7.787624954577035,8.403186586780768,11.292504300619832
left_knee_range_deg,100,28.700816467695415,4.9375017357875945,11.522652298620043,25.80070299035079,29.155651314468468,31.510749445960926,42.74130344636301
left_knee_bottom_angle_deg,100,51.62429997695877,17.45486113367085,22.774904724258267,40.207148181243184,46.50453706059562,57.945065196585006,102.75698866314006
right_knee_min_deg,100,48.070678283450334,13.976810490772268,21.6708240072734,39.21377379486411,44.736181366834906,57.22811804060387,81.58120565708444
right_knee_max_deg,100,75.94415632312057,11.014525421086416,53.10379368161415,69.41677974578243,73.70140792936894,81.23227773642098,106.31818559681136
right_knee_mean_deg,100,56.918103348635476,13.209237413780222,32.461020407079225,47.80402836069923,53.76240016921723,65.28921316034284,89.34092148477617
right_knee_std_deg,100,7.388221663057904,1.5974854104141425,3.71181334779688,6.387548906098219,7.317229927349007,8.328523512150625,10.660927800934854
right_knee_range_deg,100,27.873478039670232,4.9777634055648186,12.811344473730571,25.290691165291175,27.859768310862414,31.416149442634676,38.74763645058229
right_knee_bottom_angle_deg,100,50.39497421660785,15.121782951849891,21.72966304270568,40.77246226007443,47.15250513078773,61.151175692812586,86.25065514929088
left_hip_min_deg,100,70.97774932166477,29.707008387351774,28.56540955294701,45.78486020873164,68.10962839538216,91.21718475911857,147.8034297724327
