video,view,frame,timestamp_ms,fps,frame_width,frame_height,left_knee_angle_deg,right_knee_angle_deg,left_hip_angle_deg,right_hip_angle_deg,left_ankle_angle_deg,right_ankle_angle_deg,trunk_angle_deg
side_person1.mp4,side,0,0,29.99761320979886,848,478,177.90275078943836,171.52633114055925,163.24367757077587,141.24284466867786,106.71640585567175,85.02852335596833,14.20650748535561
side_person1.mp4,side,1,33,29.99761320979886,848,478,177.85246285340926,170.49408969550572,167.5277396348463,136.82554029847213,98.25810871334994,83.17396087171255,16.058922351470105
side_person1.mp4,side,2,67,29.99761320979886,848,478,176.97749703250966,170.63638897462704,170.1732335993851,137.75071843923914,94.27797149490057,81.49721595615586,17.348408182732495
side_person1.mp4,side,3,100,29.99761320979886,848,478,178.5272903218318,170.60125642665267,172.46933522472375,135.20493328176414,93.43996688502787,82.5570061726518,16.327334212553552
side_person1.mp4,side,4,133,29.99761320979886,848,478,178.64847381516236,170.5440305808678,173.9152766781045,136.07572799640877,92.84702881150791,81.97747776446134,16.08964539603667
side_person1.mp4,side,5,167,29.99761320979886,848,478,178.10740239885598,170.71412642327064,173.6518078630527,134.50702420005024,92.99054087431895,83.12298849861477,15.81379281493775
side_person1.mp4,side,6,200,29.99761320979886,848,478,177.56789730670795,170.89969481778365,173.36411964541534,134.9094453036621,93.92777077099535,83.7948959463934,15.479325092887823
side_person1.mp4,side,7,233,29.99761320979886,848,478,178.0038034922866,170.83967006422037,173.60557026438954,134.77056725657843,93.65808436525819,83.54982288191027,15.15567167459689
side_person1.mp4,side,8,267,29.99761320979886,848,478,177.78096594866946,170.5329573026078,173.08261368077922,134.89851874462798,93.70549581189864,82.72744091870278,15.22081236445721
side_person1.mp4,side,9,300,29.99761320979886,848,478,178.1429054547658,170.88554672347954,173.1961877376305,134.87020163243147,93.60044288703033,82.38307182774982,15.116475856939434
side_person1.mp4,side,10,333,29.99761320979886,848,478,177.9466408596488,170.6275292043991,172.96180070410767,135.13943714499237,94.01016011768384,82.46717647859388,15.137251795311888
side_person1.mp4,side,11,367,29.99761320979886,848,478,178.65986652341803,170.3718561167424,174.2620560624135,134.93189611620224,92.28221593506089,82.65793247693506,15.208824921074592
