participant,view,rep_id,cycle_percent,left_knee_angle_deg,right_knee_angle_deg,left_hip_angle_deg,right_hip_angle_deg,left_ankle_angle_deg,right_ankle_angle_deg,trunk_angle_deg
side_person17,side,1,0.0,105.10082328662013,120.60535602346296,102.52843593763411,104.8118171938118,129.6910053272626,136.35621104906622,33.91225334742437
side_person17,side,1,1.0,103.98855961887888,119.72163201896342,101.45512952237146,104.83364325131753,129.60984870074844,136.7036676830058,35.052022479403384
side_person17,side,1,2.0,102.87629595113765,118.83790801446389,100.38182310710883,104.85546930882325,129.52869207423433,137.05112431694536,36.1917916113824
side_person17,side,1,3.0,101.7640322833964,117.95418400996435,99.30851669184618,104.87729536632897,129.44753544772018,137.39858095088496,37.33156074336142
side_person17,side,1,4.0,100.65176861565517,117.07046000546482,98.23521027658353,104.89912142383469,129.36637882120604,137.74603758482453,38.47132987534044
side_person17,side,1,5.0,99.82237022323132,117.11464145082292,97.42142961884504,104.52354257274371,130.09847081833422,138.0699089587655,38.62477101832395
side_person17,side,1,6.0,99.04954488587094,117.34440398615254,96.65955411261139,104.06848273993339,130.99321254019085,138.38906328070675,38.580946563508355
side_person17,side,1,7.0,98.27671954851057,117.57416652148216,95.89767860637772,103.61342290712305,131.8879542620475,138.70821760264798,38.53712210869276
side_person17,side,1,8.0,97.50389421115018,117.80392905681178,95.13580310014407,103.15836307431273,132.78269598390412,139.02737192458923,38.49329765387717
side_person17,side,1,9.0,96.6014956998812,117.3101064803821,94.20477056753123,102.80306995175606,132.47400366044894,138.99851771579867,38.712226440024324
side_person17,side,1,10.0,95.6343106016579,116.45449134807278,93.18915952172881,102.49766018432621,131.56359431433785,138.7956592416422,39.06253184665284
side_person17,side,1,11.0,94.66712550343462,115.59887621576345,92.1735484759264,102.19225041689637,130.65318496822675,138.59280076748573,39.41283725328136
side_person17,side,1,12.0,93.69994040521132,114.74326108345413,91.15793743012397,101.88684064946652,129.74277562211566,138.38994229332926,39.763142659909875
side_person17,side,1,13.0,92.75272840628215,114.12987580184397,90.19423317457817,101.36184551978255,129.40732963762463,138.4154249548144,39.89373059265505
side_person17,side,1,14.0,91.8254895066471,113.75872037093293,89.28243570928899,100.61726502784445,129.64684701475372,138.66924875194118,39.80460105151686
side_person17,side,1,15.0,90.89825060701206,113.3875649400219,88.37063824399982,99.87268453590634,129.8863643918828,138.92307254906797,39.715471510378684
side_person17,side,1,16.0,89.97101170737702,113.01640950911087,87.45884077871064,99.12810404396824,130.1258817690119,139.17689634619475,39.6263419692405
side_person17,side,1,17.0,89.2023014645643,112.83853264855685,86.64191835058693,98.48441672108757,130.53557298240025,139.47492592389838,39.547106400158995
side_person17,side,1,18.0,88.75064853539625,113.04721292871685,86.01474599679416,98.04251573632176,131.28561186830714,139.86136706275573,39.487658775190845
side_person17,side,1,19.0,88.29899560622819,113.25589320887686,85.3875736430014,97.60061475155595,132.035650754214,140.2478082016131,39.428211150222694
side_person17,side,1,20.0,87.84734267706014,113.46457348903685,84.76040128920863,97.15871376679014,132.7856896401209,140.63424934047046,39.36876352525454
side_person17,side,1,21.0,87.32622625166668,113.59377792247533,84.08648043364104,96.78387050845201,133.4779229824344,140.9747267398488,39.381607506142544
side_person17,side,1,22.0,86.45779234514626,113.32560312230615,83.17881706919928,96.7443158822523,133.881128606781,141.08538544183185,39.755909516311284
side_person17,side,1,23.0,85.58935843862585,113.05742832213696,82.27115370475752,96.70476125605258,134.28433423112764,141.19604414381493,40.130211526480025
side_person17,side,1,24.0,84.72092453210543,112.78925352196778,81.36349034031578,96.66520662985288,134.68753985547426,141.30670284579801,40.50451353664876
side_person17,side,1,25.0,83.852490625585,112.5210787217986,80.45582697587402,96.62565200365316,135.0907454798209,141.4173615477811,40.8788155468175
side_person17,side,1,26.0,83.65820092540737,112.40861914865859,79.94202762872936,96.14313480820245,135.21520183139145,141.27427383441938,40.797022799837045
side_person17,side,1,27.0,83.46391122522974,112.29615957551856,79.4282282815847,95.66061761275175,135.339658182962,141.13118612105765,40.71523005285659
side_person17,side,1,28.0,83.26962152505209,112.18370000237854,78.91442893444004,95.17810041730104,135.46411453453257,140.98809840769593,40.633437305876136
side_person17,side,1,29.0,83.07533182487445,112.07124042923851,78.40062958729538,94.69558322185034,135.58857088610313,140.8450106943342,40.55164455889569
side_person17,side,1,30.0,82.89165937764062,112.14316605664125,77.93409468630037,94.45336065391305,135.88350222796157,140.7279850438258,40.4528964291455
