unique_rep,participant,rep_id,left_knee_min_deg,left_knee_max_deg,left_knee_mean_deg,left_knee_std_deg,left_knee_range_deg,left_knee_bottom_angle_deg,right_knee_min_deg,right_knee_max_deg,right_knee_mean_deg,right_knee_std_deg,right_knee_range_deg,right_knee_bottom_angle_deg,left_hip_min_deg,left_hip_max_deg,left_hip_mean_deg,left_hip_std_deg,left_hip_range_deg,left_hip_bottom_angle_deg,right_hip_min_deg,right_hip_max_deg,right_hip_mean_deg,right_hip_std_deg,right_hip_range_deg,right_hip_bottom_angle_deg,left_ankle_min_deg,left_ankle_max_deg,left_ankle_mean_deg,left_ankle_std_deg,left_ankle_range_deg,left_ankle_bottom_angle_deg,right_ankle_min_deg,right_ankle_max_deg,right_ankle_mean_deg,right_ankle_std_deg,right_ankle_range_deg,right_ankle_bottom_angle_deg,trunk_min_deg,trunk_max_deg,trunk_mean_deg,trunk_std_deg,trunk_range_deg,trunk_bottom_angle_deg
side_person10_1,side_person10,1,80.20327278867288,113.38745181486158,93.30463682615469,10.72199449672874,33.1841790261887,84.85253761579908,123.55126276346104,134.44099629377973,128.9487009728368,2.1734017491392077,10.889733530318694,127.35094733306008,81.62190722913974,117.11294826672597,94.35460227771814,11.761049338806734,35.49104103758623,84.45743607341154,98.30012384169277,126.73054977661614,107.70577120670494,7.485666713187319,28.430425934923377,103.68019387304814,98.54983132591772,118.95684883957192,109.49528011376505,6.420681457727642,20.407017513654196,111.07966598786386,128.60314869025115,145.25357675023466,135.23601694316628,4.578508690218787,16.65042805998351,133.50697928472042,31.92836363985308,35.860550690615526,34.14553024864945,1.1505509971863461,3.932187050762444,35.0800553999705
side_person10_2,side_person10,2,81.22961025226805,114.14520532140884,91.75607327290687,10.154320319689498,32.91559506914079,81.47253053945907,126.34399409349172,132.16962857625617,128.66724107073233,1.6445187903688383,5.825634482764457,127.61626560659482,80.81146811219237,115.21755176830382,92.09874434068485,11.13675621875861,34.40608365611145,80.81146811219237,99.55630103711714,121.33365896992866,106.63822704507011,5.310626128604554,21.777357932811526,104.25576867896318,102.13352511095218,115.67821520511718,108.66884822789434,3.228885713243143,13.544690094165006,109.39249476082742,130.86168370452503,135.85625510508936,133.5891862010628,1.3406025715891146,4.994571400564325,135.85625510508936,32.96855925563013,36.51297101880496,34.740103274907504,1.112903679015969,3.5444117631748284,36.23303581419208
side_person10_3,side_person10,3,82.57236175659716,114.44193482751731,90.39752404361222,8.963270762411078,31.869573070920154,85.17967577120255,123.07627056389164,133.6635231235738,126.71262744268473,2.918236686405655,10.58725255968217,126.14424460651058,83.9933257635945,114.82712930338172,91.96767145786411,9.098496973099461,30.833803539787226,86.34432682155187,97.95693802362564,119.47019072629794,102.87027759805723,5.521681543251115,21.513252702672304,101.55268075554208,103.22682588208455,119.83247520147336,111.08431418534977,3.661527795915729,16.605649319388803,111.81242711580585,128.66988627427207,136.75640552872778,133.32902536425237,1.8272555881346808,8.086519254455709,135.2943357215484,29.565639724736958,37.03156992503801,31.92608245622171,1.6431789336665534,7.465930200301056,33.34981285117437
side_person10_4,side_person10,4,76.74123152294987,110.56448307327383,87.99560046898141,10.299839415224831,33.82325155032396,78.57866375779089,124.68547916365156,132.96036461495208,128.52452271767962,2.414022018145643,8.27488545130052,127.06550342617732,78.16738570549336,112.84976598402228,89.27178858733579,10.860371784015713,34.682380278528925,79.44643405451222,98.43458029161044,121.7997445311712,104.06847378066226,6.039201050651343,23.365164239560755,99.64763698896073,100.330427167114,125.90974658808103,111.66148864842043,5.275852558720825,25.57931942096704,112.12836102392302,129.07485974237605,139.87802148683997,133.16626663623754,2.52023039333563,10.803161744463921,133.58625364441951,30.79730633659626,35.33461456169371,32.87583943604805,1.3618513004338162,4.537308225097451,32.09047659216579
side_person10_5,side_person10,5,78.0254462808208,109.64313459001212,90.84391008423327,10.028396125834627,31.617688309191323,78.19928478295708,124.59969672882823,131.1153071893382,126.93918247380734,1.8311341222938347,6.515610460509976,125.05666991275362,77.68064005025923,115.39927416064025,91.5161697254695,11.661792828315821,37.71863411038102,77.99827866871588,99.83807754766626,123.53935955759697,105.50993497374884,6.381053951408185,23.701282009930708,101.98702958920732,106.2222048354848,127.67471630249943,111.83591428344045,5.857032151842068,21.45251146701463,113.31697921542766,129.75682037853264,140.83545135969408,132.93986302806937,2.6490749725992755,11.078630981161439,134.6289563134788,30.815825257257647,34.67195172984058,32.91131770898107,0.9334733818517968,3.8561264725829325,33.70923496927199
side_person11_1,side_person11,1,121.0114240957284,142.92925212749498,127.52870767101383,5.123587591890166,21.917828031766575,121.23022278318412,142.13474868567567,150.2791639687354,144.155221313972,1.5669549554986715,8.144415283059715,144.1968000941618,102.59283790885162,128.14426153844897,109.50821146850231,5.426633486809283,25.551423629597352,103.16821415681667,106.25978196560284,130.28483954423265,115.7529996173033,5.9940286665186875,24.025057578629813,108.84173844179442,76.78906511085391,85.57495872798447,82.33453793808363,2.2568538423381685,8.785893617130554,84.8823551788478,114.78974598317603,124.9768712991357,120.96668814515738,2.4155510064214805,10.187125315959662,121.4589838455876,38.73197531023287,46.61743350662158,43.55753104724926,2.1728457580202383,7.885458196388711,44.00044862065978
side_person11_2,side_person11,2,117.69738107046504,137.7809195517663,123.45789654457937,5.1523271476497525,20.083538481301247,117.99091289471268,138.7838915869278,146.8584973187475,141.66136225790174,1.9386454150284902,8.074605731819702,139.338583617713,100.87309890611554,121.8961359266276,106.84742068591035,5.552462308375883,21.02303702051205,101.24032196743956,106.01364911780496,122.6534606037448,111.77926167184845,4.970030229927112,16.639811485939845,107.8926218312582,81.11309540996417,87.4369613334116,84.90485427168741,1.664860005949182,6.323865923447428,86.36851332140265,116.19820138923134,124.8009025263229,121.3716903767728,2.3457199435981884,8.602701137091557,121.20666678997314,37.640654043095374,42.88318232080293,41.267769926621206,1.4076003016369194,5.242528277707557,42.87588384674668
side_person11_3,side_person11,3,111.43090357522476,136.70012248599238,120.57929689447383,6.719475966603767,25.26921891076762,113.93177010739862,138.3381572772336,143.66317396501296,140.36589971009633,1.6055692139265751,5.325016687779367,138.4121396422346,97.56631596987832,122.02071967756449,106.52939784521236,6.598609215704526,24.45440370768617,100.36717218755264,110.53220066379922,123.61628093871316,115.47319645545568,3.2723560152823956,13.084080274913944,112.89401772570564,86.7329334373432,98.54839179623328,92.01057475781987,2.4047818823438156,11.81545835889007,92.37157925788172,115.71149870289184,128.44701513968764,123.72049616534987,3.4764191327553045,12.735516436795791,126.23323749495538,36.70851584553488,44.29133150548972,41.745713702458616,2.0785186459776988,7.582815659954839,43.784222858535095
side_person11_4,side_person11,4,109.48811413923876,132.570220099885,116.36226282966751,6.673396033483257,23.082105960646246,110.14571927709656,135.83863867197925,142.79122916394786,138.21173335842397,1.520182476475405,6.952590491968607,136.71299413384477,97.62245789212572,120.48185957333791,103.57833047716709,6.457858422941466,22.85940168121219,97.6557899930586,100.87459411181464,126.62786332051786,111.63714780848689,5.639228459661617,25.753269208703216,109.76874221672044,90.06845188781637,104.00879005739743,96.91736649352256,3.1896729956380967,13.940338169581068,95.4286971369321,120.10529896858162,128.01464385781682,124.24488052854834,2.4542760367349,7.9093448892352,126.19614695796892,32.10361734726448,43.88028893868302,39.066273529246416,3.7518718602481425,11.776671591418541,41.822353790270114
side_person11_5,side_person11,5,111.21460382288608,133.8244279479705,117.93763753618383,6.674283331075531,22.609824125084415,111.40858166753436,136.90382158391867,145.94399476388764,139.23276834522477,1.7874489750484381,9.040173179968974,138.85694369535824,98.63137518293358,120.73693101632516,105.07890746804257,6.431775336147545,22.105555833391577,98.81321746460536,107.6819678184497,125.58017595164698,113.51017012975045,5.1795365605093036,17.898208133197272,109.6531434265426,88.69273760001317,101.351253114308,95.88899212023844,3.616784297306047,12.65851551429482,100.79025034834626,118.32468667997624,129.3167853284457,124.8064881711423,3.540026515762911,10.992098648469451,129.26893533681547,35.267539827756785,42.91726806222172,39.70061030844022,1.8807908135453493,7.649728234464938,41.40678345388835
