unique_rep,participant,rep_id,left_knee_min_deg,left_knee_max_deg,left_knee_mean_deg,left_knee_std_deg,left_knee_range_deg,left_knee_bottom_angle_deg,right_knee_min_deg,right_knee_max_deg,right_knee_mean_deg,right_knee_std_deg,right_knee_range_deg,right_knee_bottom_angle_deg,left_hip_min_deg,left_hip_max_deg,left_hip_mean_deg,left_hip_std_deg,left_hip_range_deg,left_hip_bottom_angle_deg,right_hip_min_deg,right_hip_max_deg,right_hip_mean_deg,right_hip_std_deg,right_hip_range_deg,right_hip_bottom_angle_deg,left_ankle_min_deg,left_ankle_max_deg,left_ankle_mean_deg,left_ankle_std_deg,left_ankle_range_deg,left_ankle_bottom_angle_deg,right_ankle_min_deg,right_ankle_max_deg,right_ankle_mean_deg,right_ankle_std_deg,right_ankle_range_deg,right_ankle_bottom_angle_deg,trunk_min_deg,trunk_max_deg,trunk_mean_deg,trunk_std_deg,trunk_range_deg,trunk_bottom_angle_deg
person_10_1,person_10,1,35.27454618631496,64.77118455546662,44.96824075994067,8.575005953608008,29.49663836915166,36.21205996149076,34.524524905507576,67.30777560056364,43.42467790218294,7.9679929521423105,32.78325069505607,35.67615840273013,45.10254762262392,100.9120485353898,68.10980864025218,18.697587002484042,55.80950091276588,47.23692207070026,45.4199470643013,102.9117598519665,67.2210929047696,17.59486754773738,57.4918127876652,47.28128719788183,49.25871875136733,61.92679108337109,54.77601170352754,4.067235034536733,12.66807233200376,50.18502674246732,49.64706888398234,63.45450998074368,55.22820010017901,4.202675035616032,13.807441096761337,50.41150972480391,23.950762700054693,59.05139747531298,43.88727926779346,12.092670102997019,35.100634775258285,57.55231072801129
person_10_2,person_10,2,36.01763825803341,67.09429945249951,46.10771448395547,8.165683456066573,31.076661194466105,36.30739185039721,35.262426140332664,64.26298474765291,44.88998640417337,7.65983446022574,29.000558607320244,35.980192235568964,44.88122568981725,99.40730484806777,66.8705438947198,16.543643918908018,54.52607915825052,46.23608713014545,44.90189475237196,96.14271314610686,65.94693950468641,15.541420899347893,51.2408183937349,45.54812922973984,49.443290549812176,64.16942541125638,55.07152711748997,3.639561385412315,14.726134861444208,50.1823358686373,49.68539314263773,63.4854994423229,55.389122587526806,3.3948397342940813,13.800106299685169,50.51564748162583,22.968387218345978,59.36113238484389,44.115792819176804,10.876941049560084,36.39274516649792,58.38204471611584
person_10_3,person_10,3,45.66752660687503,75.74768701891726,51.64870248709063,6.371886047729489,30.080160412042233,49.5242313618428,43.13252536223751,74.6251674434651,48.43119246456744,6.339271751018757,31.492642081227594,45.96290041971919,70.29633647886283,105.69879822863386,89.50600558148345,10.683765127992464,35.402461749771035,98.3544717262762,68.95931805178198,102.15699303047673,86.3739646227796,9.962742928149721,33.19767497869475,95.92511025851566,54.77331259107088,71.37627417481144,62.434584226853154,5.079001845962734,16.602961583740566,65.676440955286,51.40502135376827,72.3758463124202,63.23263742897484,5.543787131721127,20.970824958651924,68.06640617529281,4.4198952466374655,44.08417996067751,23.479051708812808,12.148449012463578,39.66428471404004,10.149416676224003
person_10_4,person_10,4,39.834184026533066,80.8291482762047,46.875671029599765,7.674563194082989,40.99496424967164,40.144410258580216,38.29422138512584,73.85125245835621,45.58647961861299,6.955027117091581,35.55703107323038,39.09922464508796,52.278690066428254,110.12349126966365,66.61477075101607,13.094246334013068,57.84480120323539,54.31203752739562,51.64109898502929,101.74484090351632,64.76321425447065,11.144340629503173,50.10374191848703,53.42293213186502,52.10952861201056,67.00201771161092,56.595187786164836,2.1568329634826022,14.892489099600361,56.52732690213564,52.82661219274529,68.60032272137009,57.57368546240111,2.3925333325100766,15.773710528624804,57.29609979635815,23.830406762512656,52.557129415305006,44.07432583005529,6.625428302209811,28.72672265279235,50.18131332452168
person_10_5,person_10,5,42.10074065511737,73.29964467276726,49.41861221503526,6.356152553794554,31.198904017649888,43.5152155705922,40.38268720044227,72.72430040634754,47.68647688713995,7.012067380946836,32.34161320590527,42.13729862192204,54.91857871721574,95.81506489247288,71.51021314873859,11.776160457777106,40.89648617525714,57.41383692672464,54.738539158613136,98.00610739777022,70.6592321801093,11.213889125315108,43.267568239157086,57.54537769293892,55.01546769741284,62.651227653281495,59.23495926698655,1.8178308529499687,7.635759955868657,59.70500675913319,55.83355525687895,63.800209814698334,59.96853583024815,1.967660150658395,7.966654557819382,60.32785284569007,22.842236231503485,49.45310244840083,39.59119746430468,6.51644846108642,26.610866216897342,47.052803751908726
person_11_1,person_11,1,54.45546310685302,84.30522308328491,63.659140176949016,8.703700803956604,29.849759976431898,56.665781848462586,57.278830860924174,79.3565323145044,65.08523820601165,7.317203188323031,22.077701453580232,60.03867830358114,37.65740050533476,133.450770747172,49.28658394096425,16.873892678280043,95.79337024183722,38.56591547198192,40.13173105078737,127.086975533343,51.20727764930107,15.844429809725943,86.95524448255563,40.65497108102946,65.26417447915605,79.27411782172186,72.33596909647264,2.9843963735822694,14.009943342565805,71.75967841166008,64.89784570330745,79.81645013160583,72.60541737597046,3.1130531196838658,14.91860442829838,73.60225377491714,1.9591253613764856,65.5914486511976,60.20457784604932,11.081806264386168,63.63232328982111,64.43604659600997
person_11_2,person_11,2,53.77346848010358,96.5147719264666,63.145202588322455,8.39618226939491,42.74130344636301,55.084856808452464,57.7409585828061,85.13627043397774,66.13743080780984,5.377805797029922,27.39531185117164,62.13406559895692,38.47317356550885,148.6735686273239,56.79832042124135,27.84975723269718,110.20039506181504,39.4966365863376,39.99784921319139,140.58228991180496,57.93949186430635,24.39820968145649,100.58444069861358,40.37004748476301,59.68371243875036,84.22546434358142,71.93436654156096,5.716469648410143,24.54175190483106,69.90693773498899,62.34153755909692,85.08227391080521,73.95816035900124,6.009009125437777,22.740736351708293,73.56476202157857,4.065555282122352,63.81585417439998,53.64970050160082,15.739084091038027,59.75029889227763,63.28906907244995
person_11_3,person_11,3,40.8478225185025,73.49530036809811,50.320304497860775,8.491787436487876,32.64747784959562,41.431943842057485,44.20074841190124,73.29070849900953,53.563306105403846,6.905819779766158,29.089960087108288,45.20979060053231,34.759932450882445,106.88785883033468,48.79003497372613,18.07060181314084,72.12792637945223,35.68429114400586,36.23765885642746,100.22257960670764,50.64232149572479,16.84870599972439,63.98492075028018,36.84634160105458,53.42899120603842,66.93938606120697,57.894637490221974,3.1904698230996025,13.510394855168556,54.816644633246,54.5254806408972,68.40402916782276,59.81822768800885,3.3759646834588786,13.878548526925556,56.391627797868495,25.11812741518594,68.77897253304043,60.54446474692739,11.522706470813782,43.66084511785449,67.78344347173835
person_11_4,person_11,4,42.02819633716926,74.81224010257388,50.02505178464717,7.8176450956586665,32.78404376540462,43.40665711299285,45.704135138185805,74.4287899503348,53.44550416551491,6.238189851096073,28.724654812148998,48.753312134181584,36.34542248152707,99.89059176468768,47.568800938468215,14.058107020777618,63.54516928316061,37.28582648363974,37.899593912380965,98.0410558172741,49.47303079240259,13.852919764538923,60.141461904893134,38.46794825404568,50.6117887040765,67.2651692478322,57.70728818468793,3.46822705642796,16.653380543755702,56.38611775476626,52.51289084671865,67.6232922948329,60.1969627804377,3.311952045266467,15.110401448114246,59.91219733216583,29.77824285389688,67.56455721895685,61.111440134717995,8.540260876794827,37.786314365059965,66.49828128898596
person_11_5,person_11,5,39.93721554331457,70.74709637796937,48.697960142721556,8.016340226916954,30.8098808346548,40.195367061288586,43.947219859914725,70.91966225461005,51.91201940268614,6.908178894509759,26.97244239469532,43.947219859914725,35.366814198787644,102.75490762927583,49.298469280296594,17.11790766756751,67.3880934304882,36.33644557807816,36.98952197480357,98.70721783228296,50.817581349903946,16.460193824230693,61.71769585747939,37.71748824413349,50.755168968613205,72.9191576537509,56.779530436826825,4.636846865160281,22.163988685137696,52.895228822564086,52.98632965026389,72.98585444292537,59.20554503430263,4.309914318781727,19.999524792661482,54.93151720006128,20.43957444246267,67.50156134485566,58.99268138162325,12.454021359090543,47.06198690239299,67.31357339333177
