video,view,frame,timestamp_ms,fps,frame_width,frame_height,left_knee_angle_deg,right_knee_angle_deg,left_hip_angle_deg,right_hip_angle_deg,left_ankle_angle_deg,right_ankle_angle_deg,trunk_angle_deg
person_11.mp4,front,0,0,59.92000209144859,848,478,148.71904580810994,148.1603682316808,164.2816253586874,166.2908575936825,87.71841968704206,85.85976571250988,19.983761021215685
person_11.mp4,front,1,17,59.92000209144859,848,478,150.03643629043765,148.44161629957304,165.39566698892548,167.8176480443674,87.27445424569714,84.66675506539744,20.124111451898333
person_11.mp4,front,2,33,59.92000209144859,848,478,148.1866680379762,147.4525134377271,164.9861362229172,167.562188355762,85.20597896038399,83.43887896787392,20.62822877786414
person_11.mp4,front,3,50,59.92000209144859,848,478,148.60441348488536,148.1636053129294,164.83525982821436,168.61759668543942,85.42543334240136,83.13682596682251,20.847721274064774
person_11.mp4,front,4,67,59.92000209144859,848,478,148.0952970187824,148.1096157867607,164.7851660662412,168.40759509710173,84.89560677646014,83.28780770107221,20.854459119158943
person_11.mp4,front,5,83,59.92000209144859,848,478,148.97336631142252,148.0034179450043,164.9930843361778,168.02717744227834,85.626819364716,82.97819231648138,21.066981203677287
person_11.mp4,front,6,100,59.92000209144859,848,478,148.22287987895137,147.87236288704503,164.61155095462323,167.3808758513981,84.81120013983326,83.12388214157926,21.572344838570622
person_11.mp4,front,7,117,59.92000209144859,848,478,148.6274544752081,148.13736449814257,164.5204013251661,167.1020795444507,85.1977805092887,83.6507919582447,21.798138209681767
person_11.mp4,front,8,134,59.92000209144859,848,478,147.9580355288882,147.60242038542447,164.42907669447547,167.09195983348977,84.48741677476748,83.21263808595785,21.747324579262486
person_11.mp4,front,9,150,59.92000209144859,848,478,147.96992421952902,147.73232454513334,164.14019159991736,166.9707332879638,84.83034718111927,83.55918102745996,21.91150675034972
person_11.mp4,front,10,167,59.92000209144859,848,478,148.134854271846,147.52057701635064,164.1893448913844,166.9471122978148,85.05337047519528,83.31789089419802,21.83043087811061
person_11.mp4,front,11,184,59.92000209144859,848,478,148.13501908747983,147.27870658906843,164.09242310937964,167.2717651704856,85.11308995062184,82.88355507998524,21.880961232782862
person_11.mp4,front,12,200,59.92000209144859,848,478,148.00730650857824,147.62019704997877,163.9013608151155,167.3091190406279,84.88242929058212,83.35343780680203,21.92897293938276
person_11.mp4,front,13,217,59.92000209144859,848,478,148.1056229230658,148.06154877056676,164.2547812344245,167.79766262889922,84.98649244663018,83.70795656417381,21.583943532838
person_11.mp4,front,14,234,59.92000209144859,848,478,148.06273161816745,147.96591293008515,164.31285195303346,167.53013468106073,85.00208403642107,83.85734177519953,21.48978226215877
person_11.mp4,front,15,250,59.92000209144859,848,478,148.14758349944447,148.2635822721419,164.37268327012384,167.69175463728595,85.06185893488228,84.04376891138004,21.439672743156247
person_11.mp4,front,16,267,59.92000209144859,848,478,148.42744837000515,149.21910127427023,164.6016339390489,167.94828840804493,85.09881152206815,84.87734930339404,21.118845719438752
